Anno_Incidente,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Numero incidenti,Totale morti,Totale Feriti
2014,15,MI,15032,BRESSO,65,0,77
2014,15,MI,15093,CORSICO,113,1,149
2014,18,PV,18177,VIGEVANO,232,2,325
2014,13,CO,13075,COMO,459,4,597
2014,15,MI,15168,PARABIAGO,104,0,142
2014,16,BG,16219,TREVIGLIO,142,3,191
2014,97,LC,97042,LECCO,241,1,312
2014,14,SO,14061,SONDRIO,67,3,85
2014,16,BG,16198,SERIATE,116,2,158
2014,15,MI,15192,SAN DONATO MILANESE,111,2,152
2014,15,MI,15105,GARBAGNATE MILANESE,92,0,119
2014,108,MB,108028,LISSONE,159,0,242
2014,17,BS,17096,LUMEZZANE,34,0,53
2014,15,MI,15077,CINISELLO BALSAMO,291,5,407
2014,20,MN,20065,SUZZARA,73,0,93
2014,15,MI,15002,ABBIATEGRASSO,108,2,134
2014,15,MI,15175,PIOLTELLO,64,1,80
2014,108,MB,108030,MEDA,101,2,142
2014,15,MI,15146,MILANO,8959,42,11691
2014,12,VA,12119,SARONNO,165,2,205
2014,108,MB,108033,MONZA,668,4,969
2014,108,MB,108019,CESANO MADERNO,106,1,150
2014,108,MB,108024,GIUSSANO,153,4,197
2014,18,PV,18110,PAVIA,380,4,509
2014,15,MI,15027,BOLLATE,145,0,209
2014,15,MI,15182,RHO,213,2,290
2014,98,LO,98031,LODI,210,0,315
2014,15,MI,15108,GORGONZOLA,43,5,60
2014,15,MI,15086,CORMANO,89,1,123
2014,15,MI,15070,CERNUSCO SUL NAVIGLIO,82,0,115
2014,108,MB,108035,NOVA MILANESE,43,1,65
2014,15,MI,15087,CORNAREDO,15,0,18
2014,17,BS,17067,DESENZANO DEL GARDA,146,2,215
2014,17,BS,17029,BRESCIA,902,6,1210
2014,17,BS,17133,PALAZZOLO SULL'OGLIO,62,1,73
2014,12,VA,12133,VARESE,413,2,542
2016,15,MI,15205,SEGRATE,125,0,155
2016,108,MB,108035,NOVA MILANESE,57,0,82
2015,15,MI,15157,NOVATE MILANESE,70,2,88
2016,98,LO,98031,LODI,174,2,247
2016,18,PV,18182,VOGHERA,149,1,214
2016,15,MI,15116,LAINATE,82,1,113
2016,15,MI,15130,MAGENTA,81,1,109
2015,108,MB,108030,MEDA,19,0,30
2016,15,MI,15081,COLOGNO MONZESE,168,1,200
2015,15,MI,15093,CORSICO,139,0,203
2015,15,MI,15146,MILANO,8729,53,11465
2015,18,PV,18182,VOGHERA,195,0,235
2015,108,MB,108024,GIUSSANO,112,1,163
2016,15,MI,15146,MILANO,8935,50,11905
2016,108,MB,108039,SEREGNO,159,1,213
2015,108,MB,108035,NOVA MILANESE,48,2,62
2015,15,MI,15070,CERNUSCO SUL NAVIGLIO,73,1,99
2015,108,MB,108023,DESIO,164,1,213
2016,108,MB,108024,GIUSSANO,116,1,157
2015,13,CO,13075,COMO,434,3,584
2016,15,MI,15108,GORGONZOLA,29,0,38
2015,108,MB,108033,MONZA,656,5,945
2016,15,MI,15077,CINISELLO BALSAMO,294,3,408
2016,15,MI,15093,CORSICO,133,2,187
2015,16,BG,16024,BERGAMO,942,6,1269
2016,108,MB,108023,DESIO,130,0,182
2016,108,MB,108030,MEDA,107,1,140
2016,16,BG,16183,ROMANO DI LOMBARDIA,25,0,55
2016,15,MI,15189,ROZZANO,154,1,202
2016,15,MI,15192,SAN DONATO MILANESE,108,1,146
2016,17,BS,17029,BRESCIA,764,11,1061
2016,15,MI,15209,SESTO SAN GIOVANNI,271,0,314
2016,15,MI,15074,CESANO BOSCONE,60,1,80
2016,12,VA,12119,SARONNO,157,2,195
2015,15,MI,15130,MAGENTA,63,2,82
2016,15,MI,15168,PARABIAGO,67,0,89
2015,15,MI,15108,GORGONZOLA,33,0,43
2016,15,MI,15032,BRESSO,43,2,58
2016,19,CR,19036,CREMONA,446,1,612
2015,18,PV,18177,VIGEVANO,199,4,276
2015,17,BS,17113,MONTICHIARI,84,3,122
2016,20,MN,20065,SUZZARA,68,3,96
2016,108,MB,108050,VIMERCATE,133,1,165
2015,15,MI,15166,PADERNO DUGNANO,164,0,228
2015,17,BS,17096,LUMEZZANE,26,0,34
2015,18,PV,18110,PAVIA,381,1,519
2016,20,MN,20030,MANTOVA,240,1,308
2016,14,SO,14061,SONDRIO,66,0,95
2016,18,PV,18177,VIGEVANO,206,2,281
2016,108,MB,108040,SEVESO,51,0,71
2016,108,MB,108012,BRUGHERIO,93,1,128
2015,19,CR,19036,CREMONA,404,5,541
2015,17,BS,17067,DESENZANO DEL GARDA,152,5,201
2015,15,MI,15195,SAN GIULIANO MILANESE,181,3,276
2015,15,MI,15206,SENAGO,61,2,92
2016,15,MI,15002,ABBIATEGRASSO,88,2,109
2016,16,BG,16219,TREVIGLIO,146,2,200
2015,12,VA,12133,VARESE,388,0,510
2015,16,BG,16091,DALMINE,77,1,100
2015,17,BS,17029,BRESCIA,860,7,1118
2015,20,MN,20065,SUZZARA,69,1,101
2015,15,MI,15189,ROZZANO,147,1,198
2016,16,BG,16091,DALMINE,96,0,119
2016,15,MI,15171,PESCHIERA BORROMEO,40,1,56
2015,15,MI,15168,PARABIAGO,108,0,143
2015,108,MB,108028,LISSONE,149,0,222
2015,15,MI,15118,LEGNANO,256,4,351
2016,17,BS,17067,DESENZANO DEL GARDA,155,2,244
2015,13,CO,13041,CANTU',141,0,198
2016,17,BS,17133,PALAZZOLO SULL'OGLIO,64,0,89
2015,14,SO,14061,SONDRIO,58,1,74
2015,15,MI,15182,RHO,238,4,333
2015,15,MI,15209,SESTO SAN GIOVANNI,258,1,311
2016,15,MI,15157,NOVATE MILANESE,68,0,102
2015,108,MB,108039,SEREGNO,152,0,199
2015,108,MB,108012,BRUGHERIO,94,1,149
2015,16,BG,16219,TREVIGLIO,132,3,193
2016,108,MB,108019,CESANO MADERNO,84,0,136
2016,17,BS,17113,MONTICHIARI,90,1,139
2015,15,MI,15077,CINISELLO BALSAMO,301,0,410
2016,13,CO,13041,CANTU',155,1,204
2015,15,MI,15032,BRESSO,58,2,71
2015,15,MI,15074,CESANO BOSCONE,58,1,72
2016,15,MI,15118,LEGNANO,342,0,453
2015,15,MI,15171,PESCHIERA BORROMEO,51,0,66
2015,15,MI,15002,ABBIATEGRASSO,105,0,136
2016,108,MB,108027,LIMBIATE,87,0,130
2015,20,MN,20017,CASTIGLIONE DELLE STIVIERE,46,1,65
2016,13,CO,13075,COMO,406,1,568
2016,15,MI,15211,SETTIMO MILANESE,14,1,18
2016,15,MI,15195,SAN GIULIANO MILANESE,201,2,309
2015,108,MB,108027,LIMBIATE,92,0,132
2015,16,BG,16198,SERIATE,95,0,144
2015,12,VA,12070,GALLARATE,293,4,388
2015,15,MI,15105,GARBAGNATE MILANESE,38,0,46
2016,15,MI,15182,RHO,239,0,343
2016,15,MI,15087,CORNAREDO,64,0,74
2016,19,CR,19035,CREMA,130,2,166
2015,15,MI,15220,TREZZANO SUL NAVIGLIO,90,2,120
2016,108,MB,108028,LISSONE,139,2,206
2016,12,VA,12026,BUSTO ARSIZIO,365,1,478
2015,108,MB,108034,MUGGIO',51,0,76
2016,15,MI,15175,PIOLTELLO,35,0,51
2015,15,MI,15086,CORMANO,77,0,107
2015,108,MB,108050,VIMERCATE,101,1,137
2015,15,MI,15205,SEGRATE,130,2,163
2016,108,MB,108034,MUGGIO',47,0,65
2016,15,MI,15105,GARBAGNATE MILANESE,42,0,56
2015,97,LC,97042,LECCO,217,2,270
2015,108,MB,108019,CESANO MADERNO,92,1,142
2016,15,MI,15070,CERNUSCO SUL NAVIGLIO,77,0,104
2015,19,CR,19035,CREMA,179,3,226
2016,13,CO,13143,MARIANO COMENSE,62,0,88
2015,13,CO,13143,MARIANO COMENSE,70,1,87
2016,108,MB,108033,MONZA,683,4,926
2015,12,VA,12040,CASSANO MAGNAGO,72,2,102
2015,15,MI,15027,BOLLATE,106,1,140
2016,15,MI,15027,BOLLATE,110,1,162
2015,20,MN,20030,MANTOVA,272,3,355
2016,15,MI,15166,PADERNO DUGNANO,194,1,268
2015,15,MI,15036,BUCCINASCO,62,0,72
2016,15,MI,15220,TREZZANO SUL NAVIGLIO,53,0,71
2016,17,BS,17096,LUMEZZANE,31,1,38
2015,108,MB,108040,SEVESO,37,1,52
2016,16,BG,16024,BERGAMO,919,5,1207
2016,12,VA,12070,GALLARATE,294,5,383
2016,15,MI,15086,CORMANO,87,2,123
