ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,C.C.,INDIRIZZO,INSEGNA,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale
2405,BS,17133,Palazzolo sull'Oglio,EUROPA SRL,SI,V.LE EUROPA 6,CENTRO COMMERCIALE EUROPA,,6560.00,6428.00,10
7706,MN,20030,Mantova,SMA SRL,,"VIA VERONA, 83/85",,,1300.00,1700.00,10
13220,BS,17067,Desenzano del Garda,ESSELUNGA S.P.A.,,VIA MANTOVA N.1,,,2807.00,1203.00,10
2919,BS,17052,Chiari,GESTIONE CENTRI COMMERCIALI,,"VIA MILANO, 30",INTERSPAR,,1808.00,700.00,10
2169,BS,17092,Lonato del Garda,CEDRO '99 SRL,SI,VIA MANTOVA N. 36,IL LEONE DI LONATO,,7000.00,21226.00,10
5254,MN,20033,Marmirolo,ROSSETTO GROUP S.R.L.,,"VIA BUOZZI, 2",,,1853.00,355.00,10
13136,SO,14008,Bianzone,IPERAL SPA,,VIA COLOMBINI 25,IPERAL,,1800.00,1070.00,10
13756,MN,20057,San Giorgio Bigarello,MARTINELLI GIAN PAOLO,,VIA DEL COMMERCIO,MARTINELLI SUPERMERCATI,,3000.00,1500.00,10
5188,BS,17143,Pisogne,ITALFRUTTA SPA,SI,AREA EX PALINI,ITALMARK,,4000.00,8000.00,10
12185,BS,17164,Roe' Volciano,SOCIETA' SAN MARCO S.R.L.,SI,VIA MARCONI  56/58,,,3750.00,3250.00,10
4191,BS,17081,Gussago,ITALMARK SPA,SI,"VIA RICHIEDEI, 59",CENTRO COMMERCIALE ITALMARK,,1155.00,2231.00,10
622,BS,17029,Brescia,ESSELUNGA SPA,,"VIA MILANO, 50",,,1710.00,1140.00,10
4697,MN,20021,Curtatone,RIALTO S.P.A.,SI,VIA GENERALE DE LAUGIER C.M.,QUATTROVENTI,,4277.00,9025.00,10
6716,BS,17043,Castenedolo,SMA S.P.A.,,VIA BRESCIA N. 65-67,,,1990.00,1329.00,10
13340,BS,17029,Brescia,COOP LOMBARDIA SOC COOPERATIVA A RL,SI,VIA SORELLE AMBROSETTI 10,NUOVO FLAMINIA,,4100.00,7500.00,10
10222,BS,17078,Ghedi,IMMOBILIARE IL PONTE SPA,SI,STRADA COSTA,BASE,,2800.00,8051.00,10
12153,BS,17201,Villanuova sul Clisi,ITALMARK S.P.A.,,"VIA ZANARDELLI, 79",ITALMARK,,3000.00,240.00,10
3690,SO,14056,Rogolo,S.C.EVOLUTION SRL,SI,VIA ANDREA DORIA N. 2,IPERAL,,3431.00,2242.00,10
8246,BS,17067,Desenzano del Garda,IL MERCATONE DI DESENZANO SRL,,"VIA COLOMBARE DI CASTIGLIONE, 1",,C,0.00,10361.00,10
10276,BS,17077,Gavardo,BENNET S.P.A.,SI,VIA BRUNI CONTER 2,LA PORTA DEL GARDA,,2000.00,9521.00,10
6245,BS,17125,Orzinuovi,IITALMARK  SPA,SI,"VIA ADUA, 35",ITALMARK,,1800.00,1607.00,10
619,BS,17029,Brescia,CARNEVALI SPA,,VIA CEFALONIA 77,CARNEVALI,A,0.00,3420.00,10
957,MN,20066,Viadana,SMA SPA,,"VIA MORO, 1",IPERSIMPLY,,1482.00,2018.00,10
3692,SO,14015,Castione Andevenno,S.C. EVOLUTION SPA,SI,VIALE BRUNO TIRELLI 2,CENTRO COMMERCIALE LE TORRI,,3061.00,9607.00,10
5118,BS,17165,Roncadelle,FAR S.N.C. DI SPADA VIRGILIO,,"VIA MARTIRI D. LIBERTA', 23",FAR ARREDAMENTI,C,0.00,1953.00,10
