,titleType,primaryTitle,startYear,runtimeMinutes,genres,PolloRating
159053,movie,It's Alive,2009,80,"Horror,Sci-Fi",0.18860693147790394
64002,movie,Past Perfect,1996,92,"Action,Drama,Sci-Fi",0.1886007464334647
187871,movie,Fate,2016,95,"Drama,Sci-Fi,Thriller",0.18855923471821376
20651,movie,Project M7,1953,86,"Drama,Sci-Fi",0.1885176080277863
205387,movie,The Oxbow Cure,2013,79,"Drama,Horror,Sci-Fi",0.18850576848984663
47344,movie,Irresistible,1982,100,"Adult,Sci-Fi",0.1884991270746579
49218,movie,Lunnaya raduga,1983,88,"Drama,Mystery,Sci-Fi",0.1884687017622821
223503,movie,District C-11,2017,83,"Crime,Sci-Fi",0.1883951248536468
266078,movie,Rewind: Die zweite Chance,2017,106,"Crime,Sci-Fi,Thriller",0.18828117963345567
190113,movie,Loups=Garous,2010,99,"Animation,Mystery,Sci-Fi",0.18825143870816471
167841,movie,Revenge of the Bimbot Zombie Killers,2014,76,"Comedy,Sci-Fi",0.18822026455000443
34944,movie,Toomorrow,1970,95,"Comedy,Musical,Sci-Fi",0.18821986789319028
155326,movie,AI Love You,2022,95,"Drama,Romance,Sci-Fi",0.1881875628596192
90783,movie,Il tempo dell'inizio,1974,127,"Drama,Sci-Fi",0.18814092513822664
220598,movie,Blue Desert,2013,94,"Romance,Sci-Fi",0.18814092513822664
275114,movie,Stranger,2019,90,"Mystery,Sci-Fi,Thriller",0.18807330796190927
214117,movie,Shadows on the Wall,2015,90,"Horror,Sci-Fi,Thriller",0.18806287061652455
149117,movie,Pulse 2: Afterlife,2008,89,"Drama,Horror,Sci-Fi",0.18800316649732496
219582,movie,The Adventures of RoboRex,2014,91,"Family,Sci-Fi",0.18798422087921457
35875,movie,The Toy Box,1971,89,"Horror,Mystery,Sci-Fi",0.18796903836288253
258869,movie,The Bunker,2017,107,"Drama,Mystery,Sci-Fi",0.18796282962127062
234528,movie,Aoki Hagane no Arpeggio: Ars Nova DC,2015,105,"Action,Animation,Sci-Fi",0.18796282962127062
203738,movie,Reality XL,2012,81,"Sci-Fi,Thriller",0.1879222007366132
96871,movie,The Moment After,1999,89,"Action,Drama,Sci-Fi",0.18783743621547275
14653,movie,Time Flies,1944,88,"Comedy,Sci-Fi",0.18780377120948563
74652,movie,Anatomia Extinction,1995,54,"Action,Horror,Sci-Fi",0.18766889156025926
215882,movie,Movement and Location,2014,96,"Drama,Mystery,Sci-Fi",0.18766889156025926
83237,movie,Urutoraman Zeasu,1996,51,"Action,Sci-Fi",0.18759105156281047
22985,movie,Man Beast,1956,67,"Horror,Sci-Fi",0.18759011593682842
32133,movie,Superargo vs. Diabolicus,1966,88,"Adventure,Sci-Fi",0.18756582576713784
87777,movie,Mania,1974,85,"Horror,Mystery,Sci-Fi",0.18756275194079752
128482,movie,Return of the Living Dead: Rave to the Grave,2005,86,"Comedy,Horror,Sci-Fi",0.18753982798314225
196148,movie,Kaydara,2011,55,"Action,Sci-Fi",0.18745481653108476
174519,movie,The Resonator: Miskatonic U,2021,68,"Fantasy,Horror,Sci-Fi",0.18740523426435243
93098,movie,The Afterman,1985,90,"Horror,Sci-Fi",0.18731905568370855
53171,movie,Top Line,1988,94,"Action,Adventure,Sci-Fi",0.18729092204639347
273594,movie,Nova Star,2021,\N,Sci-Fi,0.18726124260983343
40765,movie,The Bees,1978,95,"Horror,Sci-Fi,Thriller",0.18723309304441385
242743,movie,Interstellar Civil War: Shadows of the Empire,2017,131,"Action,Adventure,Sci-Fi",0.1872144884106751
260447,movie,Return of the Robo-Mummy from Outer Space Part 7,2017,90,Sci-Fi,0.18719599122722957
231604,movie,Insight,2021,80,"Crime,Sci-Fi,Thriller",0.18718736185486728
61350,movie,U.F.O.,1993,79,"Comedy,Sci-Fi",0.18715306801209824
21169,movie,The Diamond Wizard,1954,83,"Crime,Drama,Sci-Fi",0.18708756759264283
213430,movie,Tokumei Sentai Go-Busters vs. Kaizoku Sentai Gokaiger: The Movie,2013,60,"Action,Sci-Fi",0.1870799176269101
154410,movie,Swamp Devil,2008,90,"Action,Horror,Sci-Fi",0.18707380392712583
226819,movie,Revan,2015,76,Sci-Fi,0.186978558382055
245892,movie,GARAKOWA - Restore the World,2015,67,"Animation,Drama,Sci-Fi",0.18694411827775442
234646,movie,Tangent Room,2017,64,"Mystery,Sci-Fi,Thriller",0.18690784264147275
232451,movie,Encounters,2014,95,"Horror,Mystery,Sci-Fi",0.18686574923881752
55663,movie,Syngenor,1990,98,"Horror,Sci-Fi",0.18672853307942783
174197,movie,Earthling,2010,111,Sci-Fi,0.18668851084584853
32966,movie,Satanik,1968,86,"Crime,Sci-Fi,Thriller",0.1866757126503938
244106,movie,Aliens & Gufors,2017,89,"Comedy,Family,Sci-Fi",0.18666553355210683
151060,movie,Cyst,2020,73,"Comedy,Horror,Sci-Fi",0.18657044088262908
242462,movie,Alien Addiction,2018,98,"Comedy,Sci-Fi",0.186532067301645
69458,movie,Povestea dragostei,1977,80,"Fantasy,Romance,Sci-Fi",0.18653172879961016
35364,movie,A Big Grey-Blue Bird,1970,95,"Crime,Sci-Fi,Thriller",0.18648759786455338
209256,movie,A Man Called Nereus,2012,98,"Action,Comedy,Sci-Fi",0.1864768809541958
143733,movie,Robodoc,2009,96,"Comedy,Sci-Fi",0.18637697845115564
164020,movie,Doors,2021,84,Sci-Fi,0.18634096151717264
52156,movie,As Time Goes by,1988,96,"Comedy,Sci-Fi",0.18633368502562
227914,movie,Blackness,2014,\N,"Drama,Sci-Fi",0.18629670703370158
61725,movie,Carnosaur 2,1995,83,"Action,Horror,Sci-Fi",0.18628702598877978
73096,movie,Tokyo: The Last War,1989,103,"Fantasy,Horror,Sci-Fi",0.1862834888960748
231700,movie,Jackrabbit,2015,100,"Drama,Sci-Fi,Thriller",0.18626506760748013
27810,movie,Hand of Death,1962,60,"Horror,Sci-Fi",0.18626506760748013
232050,movie,Voice of the Vespers,2014,98,"Action,Fantasy,Sci-Fi",0.18622473131943842
